week_start,rain_total_mm,rain_peak_mm,temp_avg_c,wind_avg_mps,radiation_avg_wm2,humidity_avg_pct,cloud_cover_avg_pct,heavy_rain_flag,storm_flag,weather_index
2022-12-26,1.71,0.31,27.195000000000004,1.285,19.96,81.655,93.21,0,0,35.590999999999994
2023-01-02,136.98,9.77,26.464285714285715,1.4449999999999998,14.527142857142858,86.02428571428571,95.82428571428572,1,0,91.34042857142857
2023-01-09,125.91,8.67,26.664285714285718,1.1164285714285715,14.942857142857143,84.51142857142857,89.35428571428572,1,0,85.46957142857144
2023-01-16,323.94,22.0,26.790714285714287,0.9614285714285715,14.712857142857144,84.74428571428572,92.17999999999999,1,0,165.26171428571428
2023-01-23,353.03999999999996,17.79,26.252142857142854,1.302142857142857,11.511428571428572,87.30071428571429,99.23857142857142,1,0,179.02185714285713
2023-01-30,218.04,10.92,26.41142857142857,1.2792857142857141,13.668571428571429,86.18642857142856,98.58857142857144,1,0,124.45585714285716
2023-02-06,124.62,13.89,26.572857142857142,1.58,16.654285714285713,85.53428571428572,97.11142857142856,1,0,86.25542857142858
2023-02-13,366.75,24.05,26.34642857142857,1.5257142857142856,16.857142857142858,86.87142857142857,92.71142857142857,1,0,182.17600000000004
2023-02-20,361.2,21.44,26.557857142857145,1.3064285714285715,13.89857142857143,88.76071428571429,96.36000000000001,1,0,181.23357142857145
2023-02-27,375.81,28.37,26.125,1.7171428571428573,15.031428571428572,86.91928571428572,97.9,1,1,187.24114285714288
2023-03-06,298.74,10.95,26.810714285714283,1.477142857142857,17.444285714285712,86.1392857142857,88.63571428571429,1,0,154.0297142857143
2023-03-13,379.71,43.03,26.88142857142857,1.2278571428571428,17.35142857142857,85.00428571428571,83.29,1,1,185.31728571428567
2023-03-20,326.07,28.6,26.785,1.540714285714286,16.414285714285715,87.255,90.56,1,1,165.5652857142857
2023-03-27,301.17,16.32,26.552857142857142,1.1907142857142856,14.284285714285716,85.96857142857142,97.28,1,0,157.30528571428573
2023-04-03,520.47,54.19,26.569285714285716,1.3407142857142857,15.044285714285715,85.17785714285714,88.25285714285714,1,1,243.09785714285715
2023-04-10,157.68,6.87,27.298571428571428,1.2307142857142856,15.244285714285715,86.99,76.97857142857144,1,0,95.665
2023-04-17,279.81,25.26,27.68357142857143,1.0514285714285714,19.607142857142858,85.18142857142857,83.62857142857143,1,1,144.93857142857144
2023-04-24,604.35,38.57,27.549999999999997,1.3978571428571427,16.45285714285714,85.905,84.77428571428571,1,1,275.6838571428571
2023-05-01,183.18,12.28,28.01,1.3742857142857143,18.154285714285713,86.25285714285714,75.75142857142858,1,0,105.06628571428573
2023-05-08,288.51,14.46,27.780714285714286,1.2457142857142858,16.731428571428573,85.91928571428572,75.17285714285715,1,0,147.34142857142857
2023-05-15,285.93,11.54,27.155714285714286,1.7085714285714286,14.22857142857143,88.44428571428571,86.52428571428571,1,0,149.17285714285717
2023-05-22,352.02,15.01,27.087857142857143,1.9221428571428572,15.411428571428571,89.42214285714286,79.31857142857143,1,0,173.97385714285713
2023-05-29,78.12,3.5,27.46142857142857,2.0128571428571425,18.391428571428573,89.45214285714285,69.49571428571429,1,0,61.871428571428574
2023-06-05,480.39,26.68,27.014285714285712,1.73,16.93285714285714,89.02142857142857,74.23285714285714,1,1,223.96200000000002
2023-06-12,232.41,13.06,26.952142857142857,1.0642857142857143,11.76,85.70785714285714,91.09,1,0,129.04285714285714
2023-06-19,154.35,23.52,26.732857142857142,1.7357142857142858,15.628571428571428,87.06214285714286,79.8157142857143,1,0,94.92457142857143
2023-06-26,341.19,41.28,27.204285714285714,1.2964285714285713,16.978571428571428,86.86857142857143,64.86,1,1,166.31157142857143
2023-07-03,225.09,11.81,26.625714285714285,1.2285714285714286,15.020000000000001,86.22071428571428,87.32571428571428,1,0,124.74285714285716
2023-07-10,19.02,0.75,26.56357142857143,2.1135714285714284,13.634285714285713,87.75714285714287,90.56285714285714,0,0,43.41642857142857
2023-07-17,222.78,19.03,26.802142857142858,2.3135714285714286,15.038571428571428,89.02714285714285,90.2357142857143,1,0,124.61414285714287
2023-07-24,2.7600000000000002,0.49,26.801428571428573,2.927142857142857,20.772857142857145,85.35000000000001,42.32142857142857,0,0,25.999142857142857
2023-07-31,88.59,7.84,27.18357142857143,1.9835714285714285,20.362857142857145,85.9992857142857,44.080000000000005,1,0,60.57614285714286
2023-08-07,93.78,10.11,26.764285714285712,2.667857142857143,19.272857142857145,85.74285714285713,65.66571428571429,1,0,67.32414285714286
2023-08-14,12.93,0.7,26.848571428571432,2.4357142857142855,20.108571428571427,85.74642857142857,74.71857142857142,0,0,36.58114285714286
2023-08-21,214.92,19.74,27.122142857142858,2.2585714285714285,17.791428571428572,85.47857142857143,71.82714285714285,1,0,117.22685714285714
2023-08-28,1.14,0.24,27.08857142857143,3.060714285714286,21.318571428571428,82.70142857142858,43.642857142857146,0,0,25.533
2023-09-04,289.62,32.07,27.447142857142858,2.2607142857142857,19.097142857142856,83.25857142857143,77.61571428571429,1,1,148.00385714285716
2023-09-11,288.12,20.29,27.177857142857142,1.4635714285714285,17.494285714285713,84.38428571428571,79.59428571428572,1,0,147.9607142857143
2023-09-18,91.08,9.36,27.315714285714286,2.692142857142857,19.3,83.98071428571428,68.78714285714285,1,0,66.86785714285715
2023-09-25,12.48,0.95,27.710714285714282,2.4157142857142855,21.768571428571427,80.755,52.77428571428571,0,0,31.67628571428572
2023-10-02,192.54000000000002,16.14,28.197857142857142,1.604285714285714,20.928571428571427,80.26857142857143,56.19285714285714,1,0,104.3897142857143
